Código Pacote;Label SEEDS;;Etapa;função;equaçao;qual material utilizado;duraçao (h);prof(m);compensando?;Fase;Atividade;Diâmetro;Codigo;"Operação - caso Sonda ser Dual Active
";Código 2;Fase;Atividade;Operação;;
;;Abandon_4_7_6;Substituir fluido sintetico do riser, Kill  e booster line por AGMAR;;;;5;0;0;FASE 6;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_8_6;Substituir fluido sintético do poço por AGMAR com retorno pela linha de choke com BOP fechado;;;;0;0;0;FASE 6;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_9_6;Realizar Teste Negativo;;;;2;0;0;FASE 6;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;6;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
;;Abandon_4_10_6;HOLD POINT: Teste de Influxo (Teste Negativo) de Barreiras de Segurança (CSD SEGUP);;;;0;0;0;FASE 6;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;6;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
;;Abandon_4_11_6;Abrir o BOP e circular AGMAR em circuito aberto até 30 NTU utilizando linhas linhas de K/C, booster e coluna;;;;14;0;0;FASE 6;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_12_6;Substituir AGMAR do poço por CASAC;;;;0;0;0;FASE 6;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_13_6;Retirar pata de elefante c/ COT até o HSG de alta.;;;;2;0;0;FASE 6;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_14_6;Jatear  com AGMAR área de asssentamento da WB no HSG de alta reciprocando coluna 3 metros com alta vazão por 30 min;;;;0,5;0;0;FASE 6;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_15_6;Retirar pata de elefante c/ COT até a superfície.;retirar;Y = PDA + 1;coluna de trabalho da sonda;0;0;0;FASE 6;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_16_6;Montar packer de abandono GT Lok Set DIAMETRO REVESTIMENTO FASE X e retrieving head;zerar itens;;;3;0;0;FASE 6;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_17_6;Descer BHA c/ COT até 350 m e conectar WBRT;;;;2;0;0;FASE 6;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_18_6;Descer BHA c/ COT até BOP;;;;4;0;0;FASE 6;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_19_6;Prosseguir descida do BHA c/ COT, assentar WBRT na WB e desassentar WB;insere;y = PDA;coluna de trabalho da sonda;0;0;0;FASE 6;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-19
;;Abandon_4_20_6;Retirar COT até posicionar packer de abandono GT Lokset DIAMETRO REVESTIMENTO FASE X;insere;y = 1;coluna de trabalho da sonda;1;0;0;FASE 6;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_21_6;Assentar packer de abandono e testar estanqueidade por baixo c/ 3.000 psi e por cima c/ 5.000 psi;;;;3;0;0;FASE 6;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;6;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_22_6;Retirar COT c/ conjunto WBRT + WB e retrieving head do packer de abandono e desmobilizar.;retirar;Y = PDA + 1;coluna de trabalho da sonda;0;0;0;FASE 6;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;6;Abandono;Execução do tampão de cimento e operações associadas;Baixa;P-01, P-03
Abandon 4-fase-7;Abandon 4-fase-7;Abandon_4_1_7;Montar pata de elefante + raspador  + magneto.;insere;y = PDA;coluna de trabalho da sonda;0;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Baixa;P-01
;;Abandon_4_2_7;Conectar WBRT e prosseguir com a descida c/ COT por seção até WBRT acima do BOP;insere;y = 1;coluna de trabalho da sonda;11;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_3_7;Jatear BOP com pata de elefante e ciclar gavetas do BOP.;;;;2;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_4_7;Prosseguir descida do BHA de condicionamento c/ COT por seção e conectar demais raspadores;;;;2;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03, P-20
;;Abandon_4_5_7;Prosseguir descida do BHA de condicionamento c/ COT por seção até o colar.;;;;2;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_6_7;Colocar COT na posição de hang off, fechar o BOP e testar revestimento com 6000 psi/15min;;;;2;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_7_7;Substituir fluido sintetico do riser, Kill  e booster line por AGMAR;;;;5;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_8_7;Substituir fluido sintético do poço por AGMAR com retorno pela linha de choke com BOP fechado;;;;0;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_9_7;Realizar Teste Negativo;;;;2;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
;;Abandon_4_10_7;HOLD POINT: Teste de Influxo (Teste Negativo) de Barreiras de Segurança (CSD SEGUP);;;;0;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
;;Abandon_4_11_7;Abrir o BOP e circular AGMAR em circuito aberto até 30 NTU utilizando linhas linhas de K/C, booster e coluna;;;;14;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_12_7;Substituir AGMAR do poço por CASAC;;;;0;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_13_7;Retirar pata de elefante c/ COT até o HSG de alta.;;;;2;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_14_7;Jatear  com AGMAR área de asssentamento da WB no HSG de alta reciprocando coluna 3 metros com alta vazão por 30 min;;;;0,5;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_15_7;Retirar pata de elefante c/ COT até a superfície.;retirar;Y = PDA + 1;coluna de trabalho da sonda;0;0;0;FASE 7;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_16_7;Montar packer de abandono GT Lok Set DIAMETRO REVESTIMENTO FASE X e retrieving head;zerar itens;;;3;0;0;FASE 7;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_17_7;Descer BHA c/ COT até 350 m e conectar WBRT;;;;2;0;0;FASE 7;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_18_7;Descer BHA c/ COT até BOP;;;;4;0;0;FASE 7;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_19_7;Prosseguir descida do BHA c/ COT, assentar WBRT na WB e desassentar WB;insere;y = PDA;coluna de trabalho da sonda;0;0;0;FASE 7;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-19
;;Abandon_4_20_7;Retirar COT até posicionar packer de abandono GT Lokset DIAMETRO REVESTIMENTO FASE X;insere;y = 1;coluna de trabalho da sonda;1;0;0;FASE 7;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_21_7;Assentar packer de abandono e testar estanqueidade por baixo c/ 3.000 psi e por cima c/ 5.000 psi;;;;3;0;0;FASE 7;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;7;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_22_7;Retirar COT c/ conjunto WBRT + WB e retrieving head do packer de abandono e desmobilizar.;retirar;Y = PDA + 1;coluna de trabalho da sonda;0;0;0;FASE 7;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;7;Abandono;Execução do tampão de cimento e operações associadas;Baixa;P-01, P-03
Abandon 4-fase-8;Abandon 4-fase-8;Abandon_4_1_8;Montar pata de elefante + raspador  + magneto.;insere;y = PDA;coluna de trabalho da sonda;0;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Baixa;P-01
;;Abandon_4_2_8;Conectar WBRT e prosseguir com a descida c/ COT por seção até WBRT acima do BOP;insere;y = 1;coluna de trabalho da sonda;11;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_3_8;Jatear BOP com pata de elefante e ciclar gavetas do BOP.;;;;2;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_4_8;Prosseguir descida do BHA de condicionamento c/ COT por seção e conectar demais raspadores;;;;2;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03, P-20
;;Abandon_4_5_8;Prosseguir descida do BHA de condicionamento c/ COT por seção até o colar.;;;;2;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_6_8;Colocar COT na posição de hang off, fechar o BOP e testar revestimento com 6000 psi/15min;;;;2;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_7_8;Substituir fluido sintetico do riser, Kill  e booster line por AGMAR;;;;5;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_8_8;Substituir fluido sintético do poço por AGMAR com retorno pela linha de choke com BOP fechado;;;;0;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_9_8;Realizar Teste Negativo;;;;2;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
;;Abandon_4_10_8;HOLD POINT: Teste de Influxo (Teste Negativo) de Barreiras de Segurança (CSD SEGUP);;;;0;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
;;Abandon_4_11_8;Abrir o BOP e circular AGMAR em circuito aberto até 30 NTU utilizando linhas linhas de K/C, booster e coluna;;;;14;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_12_8;Substituir AGMAR do poço por CASAC;;;;0;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_13_8;Retirar pata de elefante c/ COT até o HSG de alta.;;;;2;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_14_8;Jatear  com AGMAR área de asssentamento da WB no HSG de alta reciprocando coluna 3 metros com alta vazão por 30 min;;;;0,5;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_15_8;Retirar pata de elefante c/ COT até a superfície.;retirar;Y = PDA + 1;coluna de trabalho da sonda;0;0;0;FASE 8;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_16_8;Montar packer de abandono GT Lok Set DIAMETRO REVESTIMENTO FASE X e retrieving head;zerar itens;;;3;0;0;FASE 8;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_17_8;Descer BHA c/ COT até 350 m e conectar WBRT;;;;2;0;0;FASE 8;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_18_8;Descer BHA c/ COT até BOP;;;;4;0;0;FASE 8;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_19_8;Prosseguir descida do BHA c/ COT, assentar WBRT na WB e desassentar WB;insere;y = PDA;coluna de trabalho da sonda;0;0;0;FASE 8;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-19
;;Abandon_4_20_8;Retirar COT até posicionar packer de abandono GT Lokset DIAMETRO REVESTIMENTO FASE X;insere;y = 1;coluna de trabalho da sonda;1;0;0;FASE 8;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_21_8;Assentar packer de abandono e testar estanqueidade por baixo c/ 3.000 psi e por cima c/ 5.000 psi;;;;3;0;0;FASE 8;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;8;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_22_8;Retirar COT c/ conjunto WBRT + WB e retrieving head do packer de abandono e desmobilizar.;retirar;Y = PDA + 1;coluna de trabalho da sonda;0;0;0;FASE 8;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;8;Abandono;Execução do tampão de cimento e operações associadas;Baixa;P-01, P-03
Abandon 4-fase-9;Abandon 4-fase-9;Abandon_4_1_9;Montar pata de elefante + raspador  + magneto.;insere;y = PDA;coluna de trabalho da sonda;0;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Baixa;P-01
;;Abandon_4_2_9;Conectar WBRT e prosseguir com a descida c/ COT por seção até WBRT acima do BOP;insere;y = 1;coluna de trabalho da sonda;11;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_3_9;Jatear BOP com pata de elefante e ciclar gavetas do BOP.;;;;2;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_4_9;Prosseguir descida do BHA de condicionamento c/ COT por seção e conectar demais raspadores;;;;2;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03, P-20
;;Abandon_4_5_9;Prosseguir descida do BHA de condicionamento c/ COT por seção até o colar.;;;;2;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_6_9;Colocar COT na posição de hang off, fechar o BOP e testar revestimento com 6000 psi/15min;;;;2;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_7_9;Substituir fluido sintetico do riser, Kill  e booster line por AGMAR;;;;5;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_8_9;Substituir fluido sintético do poço por AGMAR com retorno pela linha de choke com BOP fechado;;;;0;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_9_9;Realizar Teste Negativo;;;;2;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
;;Abandon_4_10_9;HOLD POINT: Teste de Influxo (Teste Negativo) de Barreiras de Segurança (CSD SEGUP);;;;0;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
;;Abandon_4_11_9;Abrir o BOP e circular AGMAR em circuito aberto até 30 NTU utilizando linhas linhas de K/C, booster e coluna;;;;14;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_12_9;Substituir AGMAR do poço por CASAC;;;;0;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_13_9;Retirar pata de elefante c/ COT até o HSG de alta.;;;;2;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_14_9;Jatear  com AGMAR área de asssentamento da WB no HSG de alta reciprocando coluna 3 metros com alta vazão por 30 min;;;;0,5;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_15_9;Retirar pata de elefante c/ COT até a superfície.;retirar;Y = PDA + 1;coluna de trabalho da sonda;0;0;0;FASE 9;Condicionamento de revestimento com troca de fluido;Abandono;Abandono;Condicionamento de revestimento com troca de fluido;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_16_9;Montar packer de abandono GT Lok Set DIAMETRO REVESTIMENTO FASE X e retrieving head;zerar itens;;;3;0;0;FASE 9;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_17_9;Descer BHA c/ COT até 350 m e conectar WBRT;;;;2;0;0;FASE 9;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_18_9;Descer BHA c/ COT até BOP;;;;4;0;0;FASE 9;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-01
;;Abandon_4_19_9;Prosseguir descida do BHA c/ COT, assentar WBRT na WB e desassentar WB;insere;y = PDA;coluna de trabalho da sonda;0;0;0;FASE 9;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-19
;;Abandon_4_20_9;Retirar COT até posicionar packer de abandono GT Lokset DIAMETRO REVESTIMENTO FASE X;insere;y = 1;coluna de trabalho da sonda;1;0;0;FASE 9;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-03
;;Abandon_4_21_9;Assentar packer de abandono e testar estanqueidade por baixo c/ 3.000 psi e por cima c/ 5.000 psi;;;;3;0;0;FASE 9;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;9;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_4_22_9;Retirar COT c/ conjunto WBRT + WB e retrieving head do packer de abandono e desmobilizar.;retirar;Y = PDA + 1;coluna de trabalho da sonda;0;0;0;FASE 9;Assentamento de packer de abandono e  retirada de bucha - combo;Abandono;Abandono;Assentamento de packer de abandono e  retirada de bucha - combo;;9;Abandono;Execução do tampão de cimento e operações associadas;Baixa;P-01, P-03
Abandon 5-fase-3;Abandon 5-fase-3;Abandon_5_1_3;Descer coluna com pata de mula;insere;y = PFF;coluna de trabalho da sonda;0;0;0;FASE 3;Montagem e descida de BHA até SCPS;Abandono;Abandono;Montagem e descida de BHA até SCPS;;3;Abandono;Execução do tampão de cimento e operações associadas;Baixa;P-01, P-03
;;Abandon_5_2_3;Efetuar Tampão de abandono;;;;3;0;1;FASE 3;Tampão de cimento;Abandono;Abandono;Tampão de cimento;;3;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-14, P-24
;;Abandon_5_3_3;Aguardar pega do cimento;;;;6;0;0;FASE 3;Retirada de BHA de SCPS até superfície;Abandono;Abandono;Retirada de BHA de SCPS até superfície;;3;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-17
;;Abandon_5_4_3;Substituir fluido sintetico do riser, Kill  e booster line por AGMAR;;;;5;0;1;FASE 3;Retirada de BHA de SCPS até superfície;Abandono;Abandono;Retirada de BHA de SCPS até superfície;;3;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_5_5_3;Substituir fluido sintético do poço por AGMAR com retorno pela linha de choke com BOP fechado;;;;0;0;1;FASE 3;Retirada de BHA de SCPS até superfície;Abandono;Abandono;Retirada de BHA de SCPS até superfície;;3;Abandono;Execução do tampão de cimento e operações associadas;Moderada;P-20
;;Abandon_5_6_3;Realizar Teste Negativo;;;;2;0;0;FASE 3;Retirada de BHA de SCPS até superfície;Abandono;Abandono;Retirada de BHA de SCPS até superfície;;3;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
;;Abandon_5_7_3;HOLD POINT: Teste de Influxo (Teste Negativo) de Barreiras de Segurança (CSD SEGUP);;;;0;0;0;FASE 3;Retirada de BHA de SCPS até superfície;Abandono;Abandono;Retirada de BHA de SCPS até superfície;;3;Abandono;Execução do tampão de cimento e operações associadas;Alta;P-20
